@Hand
29/90,Avengers
279/76,Ikarigiri
288/29,Uguisu
304/73,Ichijintanto
319/111,Izuna
325/70,Achiuchikapu
331/101,Mijin
331/104,Kujaku
344/127,Heishi Shorinken
356/113,Fudo Masamune (su5)
359/107,Kaja Katana
360/114,Gokotai

@Club
108/124,Chocobo Wand
109/13,Oak Cudgel
109/14,Bone Cudgel
109/15,Buzdygan
109/16,Darksteel Mace
109/17,Bronze Mace
109/18,Platinum Mace
109/19,Mace
109/20,Mythril Mace
109/21,Ash Club
109/22,Chestnut Club
109/23,Shellbuster
109/24,Great Club
109/25,Darksteel Maul
109/26,Bronze Hammer
109/27,Brass Hammer
109/28,Warhammer
109/29,Maul
109/67,Scepter
109/68,Darksteel Rod
109/69,Bronze Rod
109/70,Brass Rod
109/71,Rod
109/72,Mythril Rod
109/73,Bone Rod
109/74,Ebony Wand
109/75,Yew Wand
109/76,Maple Wand
109/77,Mythic Wand
109/78,Mistilteinn
109/79,Rose Wand
109/80,Chestnut Wand
109/81,Willow Wand
109/82,Caduceus
109/83,Chocobo Wand (Unused)
109/84,Chocobo Wand (Unused)
109/85,Chocobo Wand (Unused)
109/86,Chocobo Wand (Unused)
109/87,Chocobo Wand (Unused)
109/88,Chocobo Wand (Unused)
109/89,Star Rod
109/90,Asklepios
109/91,Curse Wand
109/92,Skirnir's Wand
109/93,Earth Wand
109/94,Imperial Wand
109/95,Martial Wand
109/96,Pilgrim's Wand
109/97,Fey Wand
110/10,Mjollnir
273/53,Mjollnir (99)
142/9,Rune Rod
142/10,Trial Club
149/80,Morgenstern
150/103,Seveneyes
159/99,Charm Wand
160/120,Moogle Rod
164/27,Jadagna
170/34,Nomad Moogle Rod
183/96,Brass Jadagna
203/95,Yagrush
273/54,Yagrush (99)
210/98,Antares
211/89,Flanged Mace
217/31,Dream Bell
220/32,Club Hammer
221/0,Lady Bell
242/53,Gambanteinn
273/67,Gambanteinn (99)
246/36,Owleyes
264/120,Tefnut Wand
266/56,Rounsey Wand
267/44,Maestro's Baton
267/45,Melomane Mallet
280/66,Kitty Rod
281/56,Solstice
286/58,Shell Scepter
286/59,Gobbie Gavel
290/6,Coalition Rod
304/75,Tamaxchi
308/52,Camaraderie wand
313/103,Red Spriggan Club
313/104,Purple Spriggan Club
317/17,Idris
358/11,Idris (119)
317/68,Kyuka uchiwa
319/112,Nehushtan
325/67,Leafkin bopper
326/42,Heartbeater
331/102,Nibiru cudgel
331/105,Blurred rod
336/127,Divinity
337/1,Rubicundity
337/2,Heartstopper
345/0,Tishtrya
352/77,Seika Uchiwa
353/11,Jingly Rod
356/114,Asclepius (su5)
357/81,Soulflayer's Wand
358/112,Floral Hagoita
359/108,Kaja Rod
360/115,Maxentius
361/108,Cath Palug Hammer
362/78,Daybreak
363/43,Burrower's Wand
