@abyssea
1/250/79,Amoeban
1/250/64;4/9/72;4/12/107;1/259/4,Khimaira
1/5/56;1/5/58-59;1/5/57,Magic Pot
1/280/83;1/309/6;1/280/84,Marolith
1/286/77,Mimic

@aquans
1/5/27;1/5/28;1/302/100,Crab 1
1/128/78;1/258/43;1/302/120,Crab 2
1/238/98;1/280/30,Crab 3
9/0/83-84,Craklaw
1/262/29-30;1/353/110;1/277/12-13;1/310/114;9/1/66,Frog
1/265/20;1/353/112;4/12/109;1/277/11;1/353/111;4/9/79;4/12/110;5/9/46,Frog 2
1/258/88;1/258/90;1/258/89,Orobon
1/277/6;1/335/81,Pteraketos
1/5/23-24;1/258/42,Pugil
1/222/87;1/258/49,Ruszor
1/5/25-26,Sea Monk
1/259/15-16,Uragnite

@amorphs
1/326/110;9/0/98-99,Acuex
1/267/127,Botulus
1/267/83;1/337/36;1/310/37;4/9/65;5/9/40;1/310/38;4/9/66;5/9/41,Flan
1/5/44-45;1/172/72,Hecteye
1/4/113-114;1/286/79,Leech
9/1/25;9/1/27;9/2/18,Plovid
1/4/123-124;1/150/3-4,Slime
1/272/88;1/310/39;5/5/99;1/272/89;1/313/33,Sandworm
1/207/8;5/5/93,Slug
1/5/64;1/314/104;1/353/121;1/5/65;1/152/21;1/249/52;1/250/75,Worm
